Gene,logFC,logCPM,p value,FDR
CGB3,-5.714474516,8.945244447,0,0
NRARP,-5.640137483,6.506967594,0,0
PRR9,-5.563467306,5.395327799,0,0
CGB5,-5.557615761,9.2454503,0,0
CGB8,-5.541693499,9.177683179,0,0
WNT3A,-5.472832347,7.526694383,0,0
TREML2,-5.369344482,8.737341631,0,0
HSPB1,-5.323220364,7.017599329,0,0
LINC01511,-5.304079852,6.602026846,0,0
TUBB3,-5.164707921,9.736473335,0,0
CGB7,-5.100454389,5.324790368,0,0
SLC38A3,-5.090335275,6.753719733,0,0
ENDOU,-5.087208614,4.989300018,0,0
OAF,-4.996852171,6.370443132,0,0
INHA,-4.983305254,7.743563419,0,0
CGA,-4.975388309,14.23972055,0,0
LINC01451,-4.928959219,5.823712597,0,0
HOPX,-4.800934723,5.832504956,0,0
LGALS16,-4.643493405,5.979226894,0,0
ERVV-1,-4.586129176,6.273748198,0,0
TFPI,-4.537149707,6.255613183,0,0
DEGS2,-4.502167174,5.174669989,0,0
SLC6A8,-4.475423681,7.870015791,0,0
RGS3,-4.415607299,4.708303737,0,0
ABTB2,-4.414150259,8.094887949,0,0
TNFRSF1B,-4.388888312,7.996337256,0,0
LYPD3,-4.315364221,5.919814427,0,0
DUSP5,-4.257253951,8.325361878,0,0
ABLIM2,-4.047876443,5.135635545,0,0
ESRRG,-4.045731373,4.833334495,0,0
FOSB,-3.998409381,6.079546875,0,0
SORBS1,-3.989198902,5.336661847,0,0
ERVV-2,-3.943405227,7.630681392,0,0
RIN3,-3.941578378,9.553518353,0,0
FAM43A,-3.915333626,8.969580873,0,0
FGFR3,-3.898643146,8.264980057,0,0
SYDE1,-3.868162811,7.805935481,0,0
AMPD3,-3.819759101,5.45913617,0,0
TNFAIP2,-3.795928172,10.00581751,0,0
DYSF,-3.781113744,6.510908535,0,0
NECTIN3,-3.774671376,6.725010148,0,0
GADD45G,-3.75733,7.93797409,0,0
PREX1,-3.756021098,8.333611153,0,0
SLC43A2,-3.750888937,10.05673775,0,0
IL31RA,-3.702410827,5.232561045,0,0
ULK1,-3.593276131,6.913408486,0,0
SGK1,-3.567768027,7.926615708,0,0
SLC13A4,-3.541592511,7.377808994,0,0
EGFL7,-3.524678963,7.189683975,0,0
NPPB,3.508109371,6.628426701,0,0
SH3TC1,-3.505900592,6.630213558,0,0
MICALL2,-3.503710054,7.243000551,0,0
FAM83D,-3.498811069,9.781266278,0,0
NDRG1,-3.483321394,7.067737167,0,0
LMO2,-3.47976767,7.129431409,0,0
AFF1,-3.412391524,8.012054574,0,0
SDC1,-3.40067509,10.70018548,0,0
UBALD2,-3.391906771,7.363136421,0,0
KIAA1671,-3.382268878,5.36832875,0,0
HEXIM1,-3.357392663,7.146396035,0,0
PLS1,3.349309453,6.115436038,0,0
RYBP,-3.347017627,7.25523187,0,0
SPIRE2,-3.337025801,7.400186001,0,0
TBX3,-3.329494401,9.344745912,0,0
SPATA13,-3.319555931,6.544970686,0,0
EFNA5,3.307253291,5.372585087,0,0
EXPH5,-3.306022136,7.408488858,0.00E+00,0.00E+00
FAM46A,-3.296320565,7.506714974,0.00E+00,0.00E+00
APOL6,3.222055673,7.004197666,0.00E+00,0.00E+00
BTG1,-3.208417782,8.037553989,0.00E+00,0.00E+00
EIF2B2,-3.187482006,8.882274081,0.00E+00,0.00E+00
PGF,-3.179479917,12.84097992,0.00E+00,0.00E+00
OSMR,-3.158637345,7.779594264,0.00E+00,0.00E+00
PDLIM2,-3.157339579,8.009391421,0.00E+00,0.00E+00
CRIP2,-3.138584497,6.300461694,0.00E+00,0.00E+00
TRPV2,-3.122383152,8.000411597,0.00E+00,0.00E+00
PRKCZ,-3.110274883,8.411978319,0.00E+00,0.00E+00
SAT1,-3.05468765,6.241482258,0.00E+00,0.00E+00
RRM2,-3.042718266,9.759726444,0.00E+00,0.00E+00
FAM102B,-2.995386557,5.824175505,0.00E+00,0.00E+00
PHLDB3,-2.976462598,6.534057787,0.00E+00,0.00E+00
MAFK,-2.958917979,8.377709683,0.00E+00,0.00E+00
ELF3,-2.900116392,8.03226389,0.00E+00,0.00E+00
FHDC1,-2.876890979,8.432128541,0.00E+00,0.00E+00
CNNM2,-2.85595948,5.928877684,0.00E+00,0.00E+00
ENG,-2.845861048,8.367435995,0.00E+00,0.00E+00
ERVW-1,-2.830849595,8.169863775,0.00E+00,0.00E+00
HSPB8,-2.826482946,8.239510351,0.00E+00,0.00E+00
PHKG2,-2.82134167,8.086447146,0.00E+00,0.00E+00
EHD1,-2.816598898,8.109454116,0.00E+00,0.00E+00
AVPI1,-2.814329723,6.852681098,0.00E+00,0.00E+00
FGFR1,2.809195054,6.266387902,0.00E+00,0.00E+00
MFSD12,-2.769413602,9.281434025,0.00E+00,0.00E+00
LYN,-2.757730075,7.569168257,0.00E+00,0.00E+00
PRKAG2,-2.736497749,6.503008853,0.00E+00,0.00E+00
SLC7A8,-2.727443794,8.769105118,0.00E+00,0.00E+00
FSTL3,-2.723799883,10.4995459,0.00E+00,0.00E+00
ENC1,2.68032145,6.885270402,0.00E+00,0.00E+00
RAB11FIP5,-2.675702703,7.157361802,0.00E+00,0.00E+00
ATP10D,-2.675230433,6.002628427,0.00E+00,0.00E+00
SERPINE1,-2.670124504,9.615264049,0.00E+00,0.00E+00
SLC40A1,-2.663861051,9.363776078,0.00E+00,0.00E+00
ANKRD6,2.663577455,6.735753709,0.00E+00,0.00E+00
DNAJB9,-2.661411653,7.031544841,0.00E+00,0.00E+00
BASP1,-2.656175867,10.20831382,0.00E+00,0.00E+00
SLC2A1,-2.655623242,11.21169742,0.00E+00,0.00E+00
NEURL1,-2.650720778,7.96196447,0.00E+00,0.00E+00
MTUS1,-2.64734026,7.259890659,0.00E+00,0.00E+00
OPHN1,-2.644339258,6.345549399,0.00E+00,0.00E+00
CSF2RB,-2.63363925,8.37041109,0.00E+00,0.00E+00
DEPDC1B,-2.631200815,8.038826808,0.00E+00,0.00E+00
FDX1,-2.622137474,7.698142347,0.00E+00,0.00E+00
SLC19A1,-2.591923572,7.533149039,0.00E+00,0.00E+00
OVOL1,-2.589493138,8.717904427,0.00E+00,0.00E+00
UAP1,-2.57891854,7.901463731,0.00E+00,0.00E+00
ADM,-2.567012685,8.396532368,0.00E+00,0.00E+00
FAT2,2.555927894,7.640751487,0.00E+00,0.00E+00
SLC7A7,2.555381286,7.6574601,0.00E+00,0.00E+00
IER2,-2.553620539,8.274443842,0.00E+00,0.00E+00
USP43,-2.551509024,6.746036867,0.00E+00,0.00E+00
PPFIBP1,-2.54592066,7.287577483,0.00E+00,0.00E+00
PITX1,-2.544053042,6.849609527,0.00E+00,0.00E+00
EPB41L3,-2.542741608,8.88969953,0.00E+00,0.00E+00
CYP11A1,-2.538260898,10.18698045,0.00E+00,0.00E+00
ALAS1,-2.492510112,8.467700625,0.00E+00,0.00E+00
SCD,-2.47101013,10.73025454,0.00E+00,0.00E+00
EZR,-2.448274604,11.24137601,0.00E+00,0.00E+00
PIM3,-2.441351303,9.343060955,0.00E+00,0.00E+00
SLC7A5,-2.408718695,11.67025751,0.00E+00,0.00E+00
FGD6,-2.400000408,7.644965284,0.00E+00,0.00E+00
PLIN2,-2.387095188,10.16201056,0.00E+00,0.00E+00
CBLB,-2.383986213,6.863992655,0.00E+00,0.00E+00
ST3GAL1,-2.3693101,7.499728898,0.00E+00,0.00E+00
STK40,-2.346647833,7.292988106,0.00E+00,0.00E+00
DIRC2,-2.32541398,8.14318322,0.00E+00,0.00E+00
MAN1A2,-2.320829783,10.29061585,0.00E+00,0.00E+00
C1orf115,-2.296627548,9.006679599,0.00E+00,0.00E+00
RASA1,-2.261737177,8.280362117,0.00E+00,0.00E+00
PDIA3,-2.253838541,10.34818502,0.00E+00,0.00E+00
ATF3,-2.221505845,7.987092397,0.00E+00,0.00E+00
CDH5,-2.189859911,9.117908755,0.00E+00,0.00E+00
LPCAT1,-2.158541104,9.502535338,0.00E+00,0.00E+00
FAM107B,-2.85301951,5.802862476,2.16E-317,2.00E-315
PTPN21,-2.254107653,6.61215912,3.14E-316,2.88E-314
EAF1,-2.079160631,7.931180139,8.89E-316,8.11E-314
RRBP1,-2.232861716,10.5235442,3.74E-315,3.39E-313
GPRC5C,-5.146455641,4.472891241,2.18E-314,1.96E-312
